Row Labels,OJ,Grand Total,day of week,numerical,weekend,# of Boxes,Rounded # of Boxes,,
10/7/2015,56,56,Wednesday,3,0,2.333333333,2,,
10/8/2015,50,50,Thursday,4,0,2.083333333,2,,
10/9/2015,52,52,Friday,5,1,2.166666667,2,,
10/10/2015,85,85,Saturday,6,1,3.541666667,4,,
10/12/2015,45,45,Monday,1,0,1.875,2,,
10/13/2015,30,30,Tuesday,2,0,1.25,1,,
10/14/2015,43,43,Wednesday,3,0,1.791666667,2,,
10/15/2015,48,48,Thursday,4,0,2,2,,
10/16/2015,35,35,Friday,5,1,1.458333333,1,,
10/17/2015,70,70,Saturday,6,1,2.916666667,3,,
10/19/2015,33,33,Monday,1,0,1.375,1,,
10/20/2015,45,45,Tuesday,2,0,1.875,2,,
10/21/2015,33,33,Wednesday,3,0,1.375,1,,
10/22/2015,34,34,Thursday,4,0,1.416666667,1,,
10/24/2015,86,86,Saturday,6,1,3.583333333,4,,
10/26/2015,31,31,Monday,1,0,1.291666667,1,,
10/27/2015,37,37,Tuesday,2,0,1.541666667,2,,
10/28/2015,47,47,Wednesday,3,0,1.958333333,2,,
10/29/2015,39,39,Thursday,4,0,1.625,2,,
10/30/2015,54,54,Friday,5,1,2.25,2,,
10/31/2015,94,94,Saturday,6,1,3.916666667,4,,
11/2/2015,75,75,Monday,1,0,3.125,3,,
11/3/2015,49,49,Tuesday,2,0,2.041666667,2,,
11/4/2015,38,38,Wednesday,3,0,1.583333333,2,,
11/5/2015,26,26,Thursday,4,0,1.083333333,1,,
11/6/2015,42,42,Friday,5,1,1.75,2,,
11/7/2015,99,99,Saturday,6,1,4.125,4,,
11/9/2015,40,40,Monday,1,0,1.666666667,2,,
11/10/2015,38,38,Tuesday,2,0,1.583333333,2,,
11/11/2015,37,37,Wednesday,3,0,1.541666667,2,,
11/13/2015,65,65,Friday,5,1,2.708333333,3,,
11/14/2015,80,80,Saturday,6,1,3.333333333,3,,
11/16/2015,28,28,Monday,1,0,1.166666667,1,,
11/17/2015,51,51,Tuesday,2,0,2.125,2,,
11/18/2015,32,32,Wednesday,3,0,1.333333333,1,,
11/19/2015,41,41,Thursday,4,0,1.708333333,2,,
11/20/2015,52,52,Friday,5,1,2.166666667,2,,
11/21/2015,72,72,Saturday,6,1,3,3,,
11/23/2015,139,139,Monday,1,0,5.791666667,6,,
11/24/2015,36,36,Tuesday,2,0,1.5,2,,
11/25/2015,39,39,Wednesday,3,0,1.625,2,,
11/27/2015,42,42,Friday,5,1,1.75,2,,
11/28/2015,39,39,Saturday,6,1,1.625,2,,
11/30/2015,27,27,Monday,1,0,1.125,1,,
12/1/2015,39,39,Tuesday,2,0,1.625,2,,
12/2/2015,44,44,Wednesday,3,0,1.833333333,2,,
12/3/2015,35,35,Thursday,4,0,1.458333333,1,,
12/4/2015,33,33,Friday,5,1,1.375,1,,
12/5/2015,61,61,Saturday,6,1,2.541666667,3,,
12/7/2015,23,23,Monday,1,0,0.958333333,1,,
12/8/2015,46,46,Tuesday,2,0,1.916666667,2,,
12/9/2015,27,27,Wednesday,3,0,1.125,1,,
12/10/2015,40,40,Thursday,4,0,1.666666667,2,,
12/11/2015,52,52,Friday,5,1,2.166666667,2,,
12/12/2015,79,79,Saturday,6,1,3.291666667,3,,
12/14/2015,44,44,Monday,1,0,1.833333333,2,,
12/15/2015,39,39,Tuesday,2,0,1.625,2,,
12/16/2015,38,38,Wednesday,3,0,1.583333333,2,,
12/17/2015,46,46,Thursday,4,0,1.916666667,2,,
12/18/2015,54,54,Friday,5,1,2.25,2,,
12/19/2015,78,78,Saturday,6,1,3.25,3,,
12/21/2015,27,27,Monday,1,0,1.125,1,,
12/22/2015,27,27,Tuesday,2,0,1.125,1,,
12/23/2015,44,44,Wednesday,3,0,1.833333333,2,,
12/24/2015,51,51,Thursday,4,0,2.125,2,,
12/26/2015,45,45,Saturday,6,1,1.875,2,,
12/28/2015,26,26,Monday,1,0,1.083333333,1,,
12/29/2015,26,26,Tuesday,2,0,1.083333333,1,,
