,weather,accuweather,wunderground
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,0.87
6,1.0,1.0,0.87
7,1.0,0.87,0.87
8,1.0,0.87,0.87
9,1.0,0.87,0.87
10,1.0,0.87,0.87
11,1.0,0.87,0.87
12,1.0,0.87,0.87
13,1.0,0.87,0.87
14,0.87,0.7569,0.7569
15,0.87,0.7569,0.7569
16,0.87,0.7569,0.6585030000000001
17,0.87,0.7569,0.6585030000000001
18,0.87,0.7569,0.5728976100000001
19,0.7569,0.6585030000000001,0.5728976100000001
20,0.7569,0.6585030000000001,0.5728976100000001
21,0.7569,0.6585030000000001,0.5728976100000001
22,0.6585030000000001,0.5728976100000001,0.5728976100000001
23,0.6585030000000001,0.5728976100000001,0.5728976100000001
24,0.6585030000000001,0.49842092070000005,0.5728976100000001
25,0.5728976100000001,0.433626201009,0.5728976100000001
26,0.5728976100000001,0.433626201009,0.5728976100000001
27,0.49842092070000005,0.37725479487783004,0.5728976100000001
28,0.49842092070000005,0.37725479487783004,0.5728976100000001
29,0.49842092070000005,0.37725479487783004,0.5728976100000001
30,0.433626201009,0.3282116715437121,0.49842092070000005
31,0.37725479487783004,0.3282116715437121,0.433626201009
32,0.3282116715437121,0.28554415424302954,0.433626201009
33,0.3282116715437121,0.28554415424302954,0.37725479487783004
34,0.28554415424302954,0.28554415424302954,0.3282116715437121
35,0.24842341419143568,0.24842341419143568,0.28554415424302954
36,0.24842341419143568,0.21612837034654905,0.24842341419143568
37,0.21612837034654905,0.18803168220149769,0.24842341419143568
38,0.18803168220149769,0.18803168220149769,0.21612837034654905
39,0.16358756351530299,0.18803168220149769,0.21612837034654905
40,0.14232118025831358,0.16358756351530299,0.21612837034654905
41,0.12381942682473282,0.16358756351530299,0.21612837034654905
42,0.10772290133751755,0.14232118025831358,0.18803168220149769
43,0.10772290133751755,0.12381942682473282,0.16358756351530299
44,0.10772290133751755,0.10772290133751755,0.14232118025831358
45,0.10772290133751755,0.09371892416364026,0.12381942682473282
46,0.09371892416364026,0.09371892416364026,0.10772290133751755
47,0.09371892416364026,0.08153546402236703,0.09371892416364026
48,0.08153546402236703,0.08153546402236703,0.09371892416364026
49,0.07093585369945932,0.07093585369945932,0.08153546402236703
50,0.07093585369945932,0.07093585369945932,0.08153546402236703
51,0.061714192718529605,0.07093585369945932,0.08153546402236703
52,0.05369134766512076,0.07093585369945932,0.08153546402236703
53,0.046711472468655056,0.07093585369945932,0.08153546402236703
54,0.0406389810477299,0.07093585369945932,0.08153546402236703
55,0.0406389810477299,0.07093585369945932,0.08153546402236703
56,0.03535591351152501,0.07093585369945932,0.08153546402236703
57,0.03075964475502676,0.07093585369945932,0.08153546402236703
58,0.02676089093687328,0.07093585369945932,0.08153546402236703
59,0.02328197511507975,0.07093585369945932,0.08153546402236703
60,0.020255318350119383,0.07093585369945932,0.08153546402236703
